,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
63,2015-03-05,1096.3815000314285,74070.33220534388,-4658.740504150455,7288.987792115892,1096.3815000314285,1096.3815000314285,0.17101621225802396,0.17101621225802396,0.17101621225802396,-0.0011954410000032173,-0.0011954410000032173,-0.0011954410000032173,0.17221165325802718,0.17221165325802718,0.17221165325802718,0.0,0.0,0.0,1283.8805113565738
64,2015-03-06,1097.7410446767249,74070.33220534388,-5086.6533255600325,6983.27295650115,1097.7410446767249,1097.7410446767249,0.17607676492030183,0.17607676492030183,0.17607676492030183,-0.0008595703834988651,-0.0008595703834988651,-0.0008595703834988651,0.1769363353038007,0.1769363353038007,0.1769363353038007,0.0,0.0,0.0,1291.0277365436352
65,2015-03-07,1099.1022498046302,74070.33220534388,-5170.83232404013,7256.49594649276,1099.1022498046302,1099.1022498046302,0.18144296233058785,0.18144296233058785,0.18144296233058785,-0.00046484750460980793,-0.00046484750460980793,-0.00046484750460980793,0.18190780983519766,0.18190780983519766,0.18190780983519766,0.0,0.0,0.0,1298.526617913396
66,2015-03-08,1100.4651173801703,74070.33220534388,-4695.986504856228,7660.522585908227,1100.4651173801703,1100.4651173801703,0.18775137714827925,0.18775137714827925,0.18775137714827925,0.0006093948343971282,0.0006093948343971282,0.0006093948343971282,0.18714198231388213,0.18714198231388213,0.18714198231388213,0.0,0.0,0.0,1307.0789586719402
67,2015-03-09,1101.8296493705386,74070.33220534388,-4909.504136689552,7437.742984980827,1101.8296493705386,1101.8296493705386,0.19489027701324882,0.19489027701324882,0.19489027701324882,0.0022477959797387297,0.0022477959797387297,0.0022477959797387297,0.1926424810335101,0.1926424810335101,0.1926424810335101,0.0,0.0,0.0,1316.5655349577737
68,2015-03-10,1103.1958477450978,74070.33220534388,-4836.435631763716,7786.099411390317,1103.1958477450978,1103.1958477450978,0.19666756905963526,0.19666756905963526,0.19666756905963526,-0.001732991076907683,-0.001732991076907683,-0.001732991076907683,0.19840056013654295,0.19840056013654295,0.19840056013654295,0.0,0.0,0.0,1320.1586933178098
69,2015-03-11,1104.5637144753873,74070.33220534388,-5005.118108559809,7488.60334336154,1104.5637144753873,1104.5637144753873,0.20579100127432304,0.20579100127432304,0.20579100127432304,0.0013956591508819574,0.0013956591508819574,0.0013956591508819574,0.20439534212344107,0.20439534212344107,0.20439534212344107,0.0,0.0,0.0,1331.8729872485626
70,2015-03-12,1105.9332515351189,74070.33220534388,-4998.666542170318,7195.917920769011,1105.9332515351189,1105.9332515351189,0.20939894719097812,0.20939894719097812,0.20939894719097812,-0.001195440999992732,-0.001195440999992732,-0.001195440999992732,0.21059438819097087,0.21059438819097087,0.21059438819097087,0.0,0.0,0.0,1337.514510070068
71,2015-03-13,1107.3044609001804,74070.33220534388,-5031.635421377807,7745.876648160741,1107.3044609001804,1107.3044609001804,0.21609500578710292,0.21609500578710292,0.21609500578710292,-0.0008595703835102914,-0.0008595703835102914,-0.0008595703835102914,0.2169545761706132,0.2169545761706132,0.2169545761706132,0.0,0.0,0.0,1346.5874247864897
72,2015-03-14,1108.6773445486426,74070.33220534388,-5037.058335275222,8121.809489663853,1108.6773445486426,1108.6773445486426,0.22295841042105954,0.22295841042105954,0.22295841042105954,-0.0004648475046058983,-0.0004648475046058983,-0.0004648475046058983,0.22342325792566545,0.22342325792566545,0.22342325792566545,0.0,0.0,0.0,1355.8662829590494
